LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2021-02-01 23:39:03,1900-01-00 00:00:00,,80:8F:1D:C9:A3:63,-56, ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:04,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:04,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:05,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:05,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:05,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:05,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:06,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:06,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:06,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:06,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:06,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:06,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:07,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:07,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:08,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:08,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:08,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:08,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-54, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:09,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-02-01 23:39:09,1900-01-00 00:00:00,cywzh1,80:8F:1D:C9:A3:63,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
